TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
06.06.2001 00:00:00;12;-258;-23346.0804;2;0;0;-0.0997;-7771.476
07.06.2001 00:00:00;17;-203;-12915.8294;3;0;0.165;-0.1554;-12011.5096
13.06.2001 00:00:00;41;365;7697.4536;1;0;0.1;0.1000;7694.2000
21.06.2001 00:00:00;17;-86;-31047.2828;3;0;0.1;-0.0666;-5022.4001
27.06.2001 00:00:00;4;435;7590.4078;1;0;0.1;0.0998;7577.7000
03.07.2001 00:00:00;28;-773;-12825.1682;3;0;0.15920;-0.1433;-10798.0369
09.07.2001 00:00:00;17;-129;-69634.5059;2;0;0;-0.0995;-7533.6002
11.07.2001 00:00:00;38;436;7474.4904;1;0;0.1;0.0999;7468.68
11.07.2001 00:00:00;13;321;7474.4904;1;0;0.1;0.0999;7468.7071
11.07.2001 00:00:00;28;-323;-30176.0696;3;0;0.1;-0.0602;-4496.1600
12.07.2001 00:00:00;20;-106;-57479.1836;2;0;0;-0.1026;-7642.5998
12.07.2001 00:00:00;28;-536;-67826.6296;2;0;0;-0.0996;-7422.5278
18.07.2001 00:00:00;48;365;7451.9064;1;0;0.1;0.0999;7447.460
18.07.2001 00:00:00;19;177;7451.9064;1;0;0.1;0.1000;7451.6997
18.07.2001 00:00:00;47;133;7451.9064;1;0;0.1;0.0998;7437.36
18.07.2001 00:00:00;4;362;-9048.4449;3;0;0.2;0.0908;6769.4003
18.07.2001 00:00:00;13;-321;-130559.6916;2;0;0;-0.0971;-7238.5498
01.08.2001 00:00:00;47;128;7370.2286;3;0;0.2;0.0978;7244.8
01.08.2001 00:00:00;38;-436;-7474.4904;2;0;0;-0.0988;-7324.8
01.08.2001 00:00:00;48;-365;-26096.1502;2;0;0;-0.0984;-7294.890
01.08.2001 00:00:00;8;174;7411.0675;1;0;0.1;0.0998;7395.0
01.08.2001 00:00:00;19;-177;-24748.6356;2;0;0;-0.1011;-7495.9497
01.08.2001 00:00:00;3;183;7411.0675;1;0;0.1;0.0998;7393.2003
16.08.2001 00:00:00;3;-183;-63257.2187;2;0;0;-0.0950;-6613.6199
20.08.2001 00:00:00;47;-119;-7956.4396;3;0;0.1;-0.0835;-5733.42
21.08.2001 00:00:00;47;-142;-22778.5746;2;0;0;-0.0997;-6904.04
22.08.2001 00:00:00;20;93;6888.3756;1;0;0.1;0.0994;6844.7999
22.08.2001 00:00:00;33;1812;6888.3756;1;0;0.1;0.1000;6885.6
