Asof;Cash
29.08.2001 00:00:00;7862.0139
29.08.2001 00:00:00;729.7663
29.08.2001 00:00:00;-6409.5735
29.08.2001 00:00:00;-12900.3047
29.08.2001 00:00:00;-20041.3840
29.08.2001 00:00:00;-27181.0525
29.08.2001 00:00:00;-33702.9684
29.08.2001 00:00:00;-40820.5390
29.08.2001 00:00:00;-47956.7004
29.08.2001 00:00:00;-41127.5242
29.08.2001 00:00:00;-28474.4911
29.08.2001 00:00:00;-35326.2267
29.08.2001 00:00:00;-28474.4911
29.08.2001 00:00:00;-21479.9324
29.08.2001 00:00:00;-13573.5973
29.08.2001 00:00:00;-6167.0670
29.08.2001 00:00:00;999.9656
29.08.2001 00:00:00;7928.4724
29.08.2001 00:00:00;15063.3146
29.08.2001 00:00:00;22406.4929
29.08.2001 00:00:00;21891.7758
29.08.2001 00:00:00;29597.3937
06.09.2001 00:00:00;36194.9778
10.09.2001 00:00:00;40925.8600
10.09.2001 00:00:00;41136.2426
13.09.2001 00:00:00;41336.5507
13.09.2001 00:00:00;48152.2285
13.09.2001 00:00:00;54953.1270
13.09.2001 00:00:00;61764.2640
17.09.2001 00:00:00;61834.9405
17.09.2001 00:00:00;67462.8517
17.09.2001 00:00:00;73460.8112
17.09.2001 00:00:00;79341.2771
18.09.2001 00:00:00;85857.4996
18.09.2001 00:00:00;92173.2789
19.09.2001 00:00:00;98250.6923
19.09.2001 00:00:00;104181.1621
20.09.2001 00:00:00;110515.4891
20.09.2001 00:00:00;110603.4636
24.09.2001 00:00:00;110834.0708
25.09.2001 00:00:00;117189.5806
26.09.2001 00:00:00;110829.7191
26.09.2001 00:00:00;104474.6355
26.09.2001 00:00:00;98131.1553
26.09.2001 00:00:00;91775.3938
26.09.2001 00:00:00;98632.2867
26.09.2001 00:00:00;102913.5173
10.10.2001 00:00:00;97002.3043
10.10.2001 00:00:00;91002.2038
10.10.2001 00:00:00;97074.8510
10.10.2001 00:00:00;105388.5387
24.10.2001 00:00:00;98836.8563
24.10.2001 00:00:00;92283.1013
24.10.2001 00:00:00;105192.7467
31.10.2001 00:00:00;98629.9890
31.10.2001 00:00:00;105325.5065
07.11.2001 00:00:00;114207.1183
14.11.2001 00:00:00;107407.1024
05.12.2001 00:00:00;98647.4609
05.12.2001 00:00:00;105688.1100
05.12.2001 00:00:00;114447.7515
05.12.2001 00:00:00;116146.0493
12.12.2001 00:00:00;109211.7621
12.12.2001 00:00:00;102308.7296
12.12.2001 00:00:00;109801.6779
26.12.2001 00:00:00;102856.5051
26.12.2001 00:00:00;109838.8647
