TicketFee;TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
50;14.04.2010 00:00:00;400839;131;2483;3;0;0.10;0.0221;2481.6273
50;14.04.2010 00:00:00;410294;125;5626.9326;1;0;0.05;0.0498;5599.5226
50;14.04.2010 00:00:00;410693;612;5626.9326;1;0;0.05;0.0500;5623.2978
50;14.04.2010 00:00:00;430872;-3593;-10260;2;0;0;-0.0912;-10260.3557
50;21.04.2010 00:00:00;431668;108;3006;3;0;0.10;0.0258;2999.7906
50;21.04.2010 00:00:00;407373;-12;-5291;2;0;0;-0.0497;-5771.7046
50;05.05.2010 00:00:00;412341;105;5658.8420;1;0;0.05;0.0497;5624.5357
50;05.05.2010 00:00:00;413773;106;5658.8420;1;0;0.05;0.0500;5655.1377
50;05.05.2010 00:00:00;400839;-595;-10690;2;0;0;-0.0946;-10707.7152
50;12.05.2010 00:00:00;410693;356;4358;3;0;0.10;0.0367;4347.5757
50;12.05.2010 00:00:00;405415;-1204;-5927;2;0;0;-0.0501;-5931.5542
50;25.05.2010 00:00:00;431668;-186;-4351;3;0;0.05;-0.0400;-4362.3231
50;25.05.2010 00:00:00;430770;-1461;-4421;3;0;0.05;-0.0406;-4423.8094
50;26.05.2010 00:00:00;401758;161;5557.7926;1;0;0.05;0.0498;5538.0128
50;26.05.2010 00:00:00;424761;49;5557.7926;1;0;0.05;0.0495;5497.1241
50;02.06.2010 00:00:00;410693;813;10537;3;0;0.2;0.0913;10530.8054
50;02.06.2010 00:00:00;432521;-3888;-6502;2;0;0;-0.0564;-6502.4878
50;02.06.2010 00:00:00;430770;-1801;-6107;2;0;0;-0.0530;-6110.2629
50;09.06.2010 00:00:00;428169;187;5285;3;0;0.10;0.0455;5280.6869
50;09.06.2010 00:00:00;401758;-161;-5480;2;0;0;-0.0472;-5480.1665
50;06.07.2010 00:00:00;424761;-50;-5269;2;0;0;-0.0483;-5376.4210
50;07.07.2010 00:00:00;433253;362;5752.9279;1;0;0.05;0.0499;5739.7815
50;13.07.2010 00:00:00;428169;-181;-4663;3;0;0.05;-0.0392;-4683.0456
50;14.07.2010 00:00:00;412341;90;5522;3;0;0.10;0.0461;5517.0432
50;19.07.2010 00:00:00;410294;-125;-5333;2;0;0;-0.0472;-5333.0246
50;20.07.2010 00:00:00;428169;-6;-130;3;0;0.05;-0.0013;-150.7007
50;21.07.2010 00:00:00;414227;60;5725.5840;1;0;0.05;0.0498;5699.4617
50;27.07.2010 00:00:00;428169;-224;-5663;2;0;0;-0.0498;-5663.1627
50;28.07.2010 00:00:00;410693;-1781;-19644;2;0;0;-0.1754;-19644.1887
50;28.07.2010 00:00:00;423975;442;5600.1460;1;0;0.05;0.0500;5600.14
50;28.07.2010 00:00:00;405298;470;5600.1460;1;0;0.05;0.0500;5597.70
50;28.07.2010 00:00:00;428402;353;5600.1460;1;0;0.05;0.0499;5584.9099
50;28.07.2010 00:00:00;426908;1214;5600.1460;1;0;0.05;0.0500;5596.54
50;04.08.2010 00:00:00;412341;142;9724;3;0;0.2;0.0840;9658.0645
50;04.08.2010 00:00:00;413773;69;4542;3;0;0.10;0.0394;4524.7615
50;04.08.2010 00:00:00;423975;-443;-5671;2;0;0;-0.0495;-5683.69
